[2025-12-03 16:51:36] Iniciando proceso de extracción de grupos y miembros...
[2025-12-03 16:51:36] Generando listado de grupos...
[2025-12-03 16:51:38] Se encontraron     1000 grupos
[2025-12-03 16:51:38] Procesando grupo 1/    1000: dl_ext_sunnydata_credit_qa@spin.co
[2025-12-03 16:51:39] Grupo dl_ext_sunnydata_credit_qa@spin.co:        3 usuarios encontrados
[2025-12-03 16:51:39] Procesando grupo 2/    1000: dl_ext_sunnydata_credit_dev@spin.co
[2025-12-03 16:51:40] Grupo dl_ext_sunnydata_credit_dev@spin.co:        3 usuarios encontrados
[2025-12-03 16:51:40] Procesando grupo 3/    1000: dl_cx_ops_prd@digitalfemsa.com
[2025-12-03 16:51:42] Grupo dl_cx_ops_prd@digitalfemsa.com:        3 usuarios encontrados
[2025-12-03 16:51:42] Procesando grupo 4/    1000: spin.flow.test@spin.co
[2025-12-03 16:51:43] Grupo spin.flow.test@spin.co:        8 usuarios encontrados
[2025-12-03 16:51:43] Procesando grupo 5/    1000: migracion_fallidos_nov@spin.co
[2025-12-03 16:51:44] Grupo migracion_fallidos_nov@spin.co:       74 usuarios encontrados
[2025-12-03 16:51:44] Procesando grupo 6/    1000: digital_sso_gcp_dl_poc_conversational_insights@spin.co
[2025-12-03 16:51:46] Grupo digital_sso_gcp_dl_poc_conversational_insights@spin.co:        7 usuarios encontrados
[2025-12-03 16:51:46] Procesando grupo 7/    1000: contacto@spinplus.com
[2025-12-03 16:51:47] Grupo contacto@spinplus.com:        2 usuarios encontrados
[2025-12-03 16:51:47] Procesando grupo 8/    1000: ventanassbo@spin.co
[2025-12-03 16:51:48] Grupo ventanassbo@spin.co:      284 usuarios encontrados
[2025-12-03 16:51:48] Procesando grupo 9/    1000: all-spinbyoxxo@spin.co
[2025-12-03 16:51:50] Grupo all-spinbyoxxo@spin.co:        1 usuarios encontrados
[2025-12-03 16:51:50] Procesando grupo 10/    1000: usrsabove20klimit@spin.co
[2025-12-03 16:51:51] Grupo usrsabove20klimit@spin.co:        4 usuarios encontrados
[2025-12-03 16:51:51] Procesando grupo 11/    1000: test.meetingsgws@spin.co
[2025-12-03 16:51:52] Grupo test.meetingsgws@spin.co:        2 usuarios encontrados
[2025-12-03 16:51:52] Procesando grupo 12/    1000: titops.tools@spin.co
[2025-12-03 16:51:53] Grupo titops.tools@spin.co:        2 usuarios encontrados
[2025-12-03 16:51:53] Procesando grupo 13/    1000: techleads@spin.co
[2025-12-03 16:51:55] Grupo techleads@spin.co:       31 usuarios encontrados
