folder_334304832074|Compute (334304832074)
folder_32711752179|Prod (32711752179)
folder_487538917394|AIPlatform (487538917394)
organization_713468743428|digitalfemsa.com (713468743428)
folder_185126465981|Compute (185126465981)
folder_1007398322776|Sandbox (1007398322776)
folder_749854200283|Compute (749854200283)
folder_892248868545|Staging (892248868545)
folder_1022154531876|Data (1022154531876)
folder_106990299542|Data (106990299542)
folder_206803395950|Data (206803395950)
folder_271342856035|Data (271342856035)
folder_73733423094|Prd (73733423094)
folder_808527571326|DataPlatform (808527571326)
folder_81894607091|Data (81894607091)
folder_546208927781|QA (546208927781)
folder_256642822327|Data (256642822327)
folder_366862514930|Dev (366862514930)
folder_829256844553|Data (829256844553)
folder_757994246976|sb-dev (757994246976)
folder_893556906054|Data (893556906054)
folder_966526330745|sb-qa (966526330745)
